run,model,instance,makespan,runtime,parameter_set,seed,jobs,machines,best_makespan,gap,category
0.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
1.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
2.0,MWKR_SPT,HurinkSdata65.fjs,1108.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.18629550321199143,small
3.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
4.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
5.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
6.0,MWKR_SPT,HurinkSdata65.fjs,1108.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.18629550321199143,small
7.0,MWKR_SPT,HurinkSdata65.fjs,1108.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.18629550321199143,small
8.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
9.0,MWKR_SPT,HurinkSdata65.fjs,1142.0,0.0402923107147216,MWKR_SPT,,10,10,934.0,0.22269807280513917,small
0.0,MWKR_SPT,HurinkSdata66.fjs,1248.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.3220338983050847,small
1.0,MWKR_SPT,HurinkSdata66.fjs,1310.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.3877118644067797,small
2.0,MWKR_SPT,HurinkSdata66.fjs,1261.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.3358050847457627,small
3.0,MWKR_SPT,HurinkSdata66.fjs,1209.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.2807203389830508,small
4.0,MWKR_SPT,HurinkSdata66.fjs,1248.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.3220338983050847,small
5.0,MWKR_SPT,HurinkSdata66.fjs,1310.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.3877118644067797,small
6.0,MWKR_SPT,HurinkSdata66.fjs,1252.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.326271186440678,small
7.0,MWKR_SPT,HurinkSdata66.fjs,1209.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.2807203389830508,small
8.0,MWKR_SPT,HurinkSdata66.fjs,1314.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.3919491525423729,small
